GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pong-server,com.be.pongserver,PongServerApplication,8,0,0,0,3,0,2,0,2,0
pong-server,com.be.pongserver,PongController,5,112,2,12,2,28,2,10,0,5
